,Title,Artist,Genre,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Mode,Time Signature,Key,Duration,Release Year,Year,Lyrics
183,Queen of My Heart - Radio Edit,Westlife,boy band,0.146,0.514,0.497,0,0.13,-6.071,0.0264,0.316,109.085,Major,3,11,259187,2001,2001,"['So here we stand in our secret place', 'Where the sound of the crowd is so far away', 'You take my hand, and it feels like home', ""We both understand, it's where we belong"", '', 'So how do I say, do I say goodbye?', 'We both have our dreams, we both wanna fly', ""So let's take tonight, to carry us through"", 'The lonely times', '', ""I'll always look back as I walk away"", 'This memory will last for eternity', 'And all of our tears will be lost in the rain', 'When I find my way back to your arms again', 'But until that day, you know you are', 'The queen of my heart', 'The queen of my heart', '', ""So let's take tonight and never let go"", ""While dancing we'll kiss, like there's no tomorrow"", 'As the stars sparkle down, like a diamond ring', ""I'll treasure this moment 'til we meet again"", 'But no matter how far (No matter how far)', 'Or where you may be (Where you may be)', 'I just close my eyes (Just close my eyes)', ""And you're in my dreams"", 'And there you will be, until we meet', '', ""I'll always look back as I walk away"", 'This memory will last for eternity', 'And all of our tears will be lost in the rain', 'When I find my way back to your arms again', 'But until that day, you know you are', 'The queen of my heart', ""I'll always look back as I walk away"", 'This memory will last for eternity', 'And all of our tears will be lost in the rain', 'When I find my way back to your arms again', 'But until that day, you know you are', 'The queen of my heart', '', 'Oh yeah', ""You're the queen of my heart (Queen of my heart)"", 'No matter how many years it takes (Queen of my heart)', ""I'll do it all to you, oh yeah (Queen of my heart)"", 'Oh, yes you are', 'The queen of my heart']"
184,Rapture (feat.Nadia Ali),iio,vocal house,0.0722,0.661,0.855,0.0185,0.199,-8.403,0.0377,0.601,123.943,Major,4,8,253587,2006,2001,"['Love, lo-lo-lo-lo-lo-love', 'Lo-lo-lo-lo-lo-love', 'Love, lo-lo-lo-lo-lo-love', 'Lo-lo-lo-lo-lo-love', '', '', 'The night I laid my eyes on you', 'Felt everything around me move', 'Got nervous when you looked my way', 'But you knew all the words to say', '', '', 'Then your love slowly moved right in', 'All this time, oh, my love, where you been?', '', '', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', '', '', 'Love, lo-lo-lo-lo-lo-love', 'Lo-lo-lo-lo-lo-love', 'Love, lo-lo-lo-lo-lo-love', 'Lo-lo-lo-lo-lo-love', '', '', '', '', ""I'm mesmerized in every way (Every way)"", 'You keep me in a state of daze', 'Your kisses make my skin feel weak', ""I'm always melting in your heat"", '', '', 'Then I soar like a bird in the wind', ""Oh, I glide as I'm flying through heaven"", '', '', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', '', '', 'Since we connect behind closed doors', 'Spark this fire even more', 'No telling where we will be next', 'Surrender to your rapture arrest', 'Lay your head, let the slumber flow', ""Can't resist, that's why words were wrote"", '', '', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', ""Mi amore, don't you know?"", 'My love, I want you so (Yeah)', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', ""Mi amore, don't you know?"", 'My love, I want you so', 'Sugar, you make my soul complete', 'Rapture tastes so sweet', '', '', ""Mi amore, don't you know?""]"
185,Have You Ever,S Club,"europop, talent show",0.538,0.585,0.702,0,0.216,-5.734,0.0325,0.51,139.909,Major,4,0,201533,2001,2001,"[""Sometimes it's wrong to walk away"", ""Though you think it's over"", ""Knowing there's so much more to say"", ""Suddenly the moment's gone"", 'And all your dreams are upside down', 'And you just wanna change the way the world goes round', '', 'Tell me', 'Have you ever loved and lost somebody?', ""Wish there was a chance to say I'm sorry"", ""Can't you see?"", ""That's the way I feel about you and me, baby"", 'Have you ever felt your heart was breaking?', ""Lookin' down the road you should be taking"", 'I should know', 'Cause I loved and lost the day I let you go', '', ""Can't help but think that this is wrong"", 'We should be together', 'Back in your arms where I belong', ""Now I've finally realized, it was forever that I'd found"", ""I'd give it all to change the way the world goes round"", 'Tell me', 'Have you ever loved and lost somebody?', ""Wish there was a chance to say I'm sorry"", ""Can't you see?"", ""That's the way I feel about you and me, baby"", 'Have you ever felt your heart was breaking?', ""Lookin' down the road you should be taking"", 'I should know (I should know)', ""'Cause I loved and lost the day I let you go"", '', 'I really wanna hear you say', 'That you know just how it feels', 'To have it all and let it slip away', ""Can't you see?"", ""Even though the moment's gone (Moment's gone)"", ""I'm still holding on somehow"", ""Wishing I could change the way the world goes 'round"", 'Tell me', '', 'Have you ever loved and lost somebody?', ""Wish there was a chance to say I'm sorry (I'm sorry)"", ""Can't you see? (Ooh)"", ""That's the way I feel about you and me, baby"", 'Have you ever felt your heart was breaking?', ""Lookin' down the road you should be taking"", 'I should know (I should know)', 'Cause I loved and lost the day I let', 'Yes, I loved and lost, the day I let', 'Yes, I loved and lost, the day I let you go']"
186,Lovin' Each Day,Ronan Keating,"europop, talent show",0.0178,0.541,0.899,2.95E-06,0.286,-6.261,0.0633,0.829,106.676,Major,4,1,212973,2000,2001,"[""Ah c'mon yeah"", ""Ah c'mon yeah"", '', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a blast"", 'Please baby', 'I need you here', '', ""Girl, I'm on a mission"", 'To cure my condition', ""'Cause without your kissin'"", ""My heart's just a prison"", ""So I'm hopin' and wishin'"", ""That girl I'm forgiven"", 'Say yeah - yeah yeah', '', ""'Cause every time you leave me"", ""I'm sad"", ""The moment you're returning"", ""I'm glad"", ""So let's not go forgetting what we had"", ""'Cause it's bad, so damn bad"", ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a blast"", 'Oh, baby, I want you right here next to me', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a laugh"", 'Please, baby, I need you here', '', ""If I've hurt your feelings"", ""Then, baby, we're even"", ""'Cause I've been greivin'"", ""Since you said you're leavin'"", ""But now you're by my side"", ""Let's not fight"", ""'Cause you're right"", '', 'And every time I lose you', ""I'm lost"", 'The more you versus me girl', ""There's just us"", ""'Cause anything without you's just a bust"", ""Baby trust, you're a must (yeah yeah)"", '', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a blast"", 'Oh, baby, I want you right here next to me', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a laugh"", 'Please, baby, I need you here', ""So don't go throwing our love away"", ""It's here to stay"", ""I'm telling you"", ""There's nothing that can stop us anyway"", ""Our love's an ocean"", ""Let's get it in motion"", '', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a blast"", 'Oh, baby, I want you right here next to me', ""We're lovin' each day as if it's the last"", ""Dancin' all night and havin' a laugh"", 'Please, baby, I need you here', 'I need you here', 'I need you here', 'I need you here', 'I need you here', ""'Cause we're lovin' and we're givin'"", ""And we're hopin' and we're dreamin'"", ""Lovin' and we're givin'"", ""And we're hopin' and we're dreamin'"", 'Oh, baby, I need you her']"
187,Love,Musiq Soulchild,"contemporary r&b, neo soul, r&b, urban contemporary",0.342,0.569,0.385,0,0.0876,-9.919,0.0499,0.339,99.738,Minor,4,1,304667,2000,2001,"['Love', ""So many things I've got to tell you"", ""But I'm afraid I don't know how"", ""'Cause there's a possibility"", ""That you'll look at me differently"", 'Love', 'Ever since the first moment I spoke your name', 'From then on I knew that by you being in my life', ""Things were destined to change 'cause"", '', 'Love', 'So many people use your name in vain', 'Love', 'Those who have faith in you sometimes go astray', 'Love', 'Through all the ups and downs the joys and hurts', 'Love', 'For better or worse I still will choose you first', '', ""Many days I've longed for you"", 'Wanting you', 'Hoping for the chance to get to know you', 'Longing for your kiss', 'For your touch, your feel, your Presence', ""Many nights I've cried from the things you do"", 'Felt like I could die from the thought of losing you', ""I know that you're real"", 'With no doubts and no fears', 'And no questions', 'So many people use your name in vain', 'Love', 'Those who have faith in you sometimes go astray', 'Love', 'Through all the ups and downs the joys and hurts', 'Love', 'For better or worse I still will choose you first', '', ""At first you didn't mean that much to me, no"", ""But now I know you're all I need"", 'The world looks so brand new to me', 'Now that I found love', 'Everyday I live for you, yeah', 'And everything that I do, I do it for you', ""What I say is how I feel so believe it's true"", ""You got to know I'm true"", '', 'Love', 'So many people use your name in vain', 'Love', 'Those who have faith in you sometimes go astray', 'Love', 'Through all the ups and downs the joys and hurts', 'Love', 'For better or worse I still will choose you first', 'Love', 'So many people use your name in vain', 'Love', 'Those who have faith in you sometimes go astray', 'Love', 'Through all the ups and downs the joys and hurts', 'Love', 'For better or worse I still will choose you first', 'Love']"
188,It's Over Now,112,"atl hip hop, boy band, contemporary r&b, hip pop, r&b, urban contemporary",0.0106,0.66,0.71,7.01E-06,0.0736,-4.541,0.0409,0.233,97.988,Major,4,1,264933,2001,2001,"['What is this, numbers in your pocket?', 'I remember when you used to throw those things away', 'Why do you wanna keep in touch now?', 'Who gave you a reason to act so shady?', '', 'Baby you know, you can call me anytime', 'Anything you needed, I would give it to you', ""That's how much I care for you"", 'Wanna act now, never call me back now', ""Turnin' off your cell phone, girl you know that ain't cool"", ""I don't understand baby"", '', ""Baby, it's a shame we gotta go through this"", ""We can't even talk, girl we don't even kiss"", ""I never woulda thought we'd be breakin' up like this"", ""But it's over now (it's over now)"", '', ""You think that I don't know what's goin' on"", ""'cause you're always home alone"", ""And I'm always out of town"", 'You need to stop trying to play me', ""'Cause you can't even fade me"", ""I know you're messin' around baby"", 'Baby you know, you can call me anytime', 'Anything you needed, I would give it to you', ""That's how much I care for you"", 'Wanna act now, never call me back now', ""Turnin' off your cell phone, girl you know that ain't cool"", ""I don't understand baby"", '', ""Baby, it's a shame we gotta go through this"", ""We can't even talk, girl we don't even kiss"", ""(Girl, we don't even kiss anymore, tell me why?)"", ""I never woulda thought we'd be breakin' up like this"", ""But it's over now (It's over now)"", ""(We don't even talk no more)"", ""Baby, it's a shame we gotta go through this"", ""(It's a shame)"", ""We can't even talk, girl we don't even kiss"", ""(Girl, we don't even kiss, don't wanna fight no more)"", ""I never woulda thought we'd be breakin' up like this (Like this)"", ""But it's over now (It's over now)"", '', ""Baby it's a shame, shame that we go through"", 'The things that we go through', ""When you're in love with me, and I'm in love with you"", 'I think that we should talk, talk about our problems', 'Instead of running away', ""Oh baby it's a shame, we couldn't work it out"", 'Forgot what love was all about, (the feelings we had from the start)', 'The feelings we had, my heart will always be with you', ""Girl it's a shame"", ""Baby, it's a shame we gotta go through this"", ""We can't even talk, girl we don't even kiss"", ""I never woulda thought we'd be breakin' up like this"", ""But it's over now (It's over now)"", ""Baby, it's a shame we gotta go through this"", ""We can't even talk, girl we don't even kiss"", ""I never woulda thought we'd be breakin' up like this"", ""But it's over now (It's over now)"", ""Baby, it's a shame we gotta go through this"", ""We can't even talk, girl we don't even kiss"", ""I never woulda thought we'd be breakin' up like this"", ""But it's over now (It's over now)""]"
189,No More (Baby I'ma Do Right),3LW,"contemporary r&b, girl group, hip pop, r&b, urban contemporary",0.102,0.721,0.723,4.40E-06,0.0651,-7.08,0.0631,0.761,88.933,Minor,4,2,263440,2000,2001,"[""I'm getting a little tired of your broken promises, promises"", 'Looking at your pager, seeing different numbers and numbers', ""Call you on your cell, you hangin' with the fellas, the fellas"", ""Hangin' with my girls, you always getting jealous 'n' jealous"", ""I was with you when you didn't have no dollars, no dollars"", ""Hangin' at the crib, chillin' wit yo momma, yo momma"", 'Never fronted you, never brought the drama, the drama', 'Now, you flipped the script, playa, please', '', ""(No, I'm not the one)"", 'Say it again, say it again, oh', ""(No, I'm not the one)"", ""You do or you don't"", '', ""You do or you don't, don't"", ""You will or you won't, won't"", 'No more', ""No more, baby, I'ma do right"", ""You can or you can't, can't"", 'Be a man, be a man, man', 'No more', ""No more, baby, I'ma do right"", 'You treat me like a lady when you open doors and doors', 'But then you wanna front when you wit your boys, your boys', 'How you gonna play me when I bought yo clothes, yo clothes', ""The ones that you be wearin' when you wit your dogs, your dogs"", 'You know you never thought that I would have the nerve, the nerve', 'To think about it more since you at the curb, the curb', ""Blowin' up my pager, say you want a chance, a chance"", 'Listen when I say, playa, please', '', ""You do or you don't, don't"", ""You will or you won't, won't"", 'No more', ""No more, baby, I'ma do right"", ""You can or you can't, can't"", 'Be a man, be a man, man', 'No more', ""No more, baby, I'ma do right"", '', '[Breakdown]', ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", 'I just wanna know', 'What happened to our love', 'We used to be best friends', 'Where did it go wrong', 'When ya gonna see', 'How good it is with me', ""I'm tired and I'm through with all your"", 'Listen, baby (Yo, yo, yo)', '', 'Hey yo, you promised me Kate Spade', 'But that was last year, boy, in the eighth grade', ""And you ain't Biggie, baby boy, so no it ain't one more chance"", ""When yo friends around, you don't wanna hold my hand"", ""And now you see a girl stylin' and wildin' inside the mix"", ""Hoppin' out the whips, the whips, the five and six"", 'Yes, fly chrome, so pardon my tone', ""Here go a quarter, go call Tyrone (You do or you don't)"", '', ""You do or you don't, don't"", ""You will or you won't, won't (No more, no more)"", 'No more (No more, no more)', ""No more, baby, I'ma do right (Baby, I'ma do right, do right)"", ""You can or you can't, can't"", 'Be a man, be a man, man (Baby, be a man, yeah)', 'No more (Baby, be a man, yeah)', ""No more, baby, I'ma do right"", '[Breakdown]', ""Do right, no, I'm not the one (Sing it again, sing it again, girls)"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one (I'm tired of hearin')"", ""Baby, I'ma do right (Baby, I'ma do right, do right)"", ""Do right, no, I'm not the one (Never again, never again, no, no)"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one (I'm not the one, babe)"", ""Baby, I'ma do right"", '', ""No, I'm not the one"", '(Say it again, s-say it, say it again)', ""No, I'm not the one"", '(Say it again, s-say it, say it again)', ""No, I'm not the one"", '(I can do bad all by myself)', ""No, I'm not the one"", ""(I'm not the one, the one)"", '', ""You do or you don't, don't"", ""You will or you won't, won't"", 'No more (Yeah, yeah)', ""No more, baby, I'ma do right (No more)"", ""You can or you can't, can't (You can't)"", 'Be a man, be a man, man (Be a man, be a man)', 'No more (No more)', ""No more, baby, I'ma do right (Baby, I'ma do right)"", '', '[Breakdown]', ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right"", ""Do right, no, I'm not the one"", ""Baby, I'ma do right""]"
190,Heaven Is a Halfpipe (If I Die),OPM,rap rock,0.0755,0.743,0.894,0.00283,0.367,-6.886,0.0349,0.77,95.9,Major,4,8,257427,2000,2001,"['If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on Earth I can?t do jack"", 'Without the man up on my back', '', '', 'Now Heaven would be a DJ spinning dub all night long', 'And Heaven would be just kicking back with Jesus packing my bong', 'And if you don?t believe in Jesus; then Muhammad or Buddha too', 'And while the world is warring, we just sit back and laugh at you, singing?', '', '', 'If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on earth I can?t do jack"", 'Without the man up on my back', '', '', 'Now when most people think of Heaven, they see those pearly gates', 'But I looked a little closer and there?s a sign that says ?do not skate?', 'So if you wanna come to my heaven where we all gonna have a ball', 'And everyone you know is welcome ?cause we got no gates or walls, singing?', '', '', 'If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on earth I can't do shit"", ""Without the man fuckin' with it"", '', 'Then I got to the gate', 'Pulled out a list that I?d been callin? fate', '""I?m sorry, friend, you can?t come in', 'You got a list here that doesn?t end""', 'You?re mad ?cause I smoked dope?', 'You teachin? any classes in how to cope?', 'I find a place to rest my head', 'I?d rather be alone now that I?m dead', 'Like Christian Hosoi way back in ?87', 'We?ll be busting Christ air?s until we get to heaven', 'You think I really care that I missed biology?', 'Got my education in stale fishology', 'With all your rules, you gots to chill', 'I?m gonna twist out like Mike McGill', 'Gonna twist out ?cause I got the skills', 'Gonna twist out ?cause I got the skills?', 'Got the skills, got the skills', 'Got the skills, got the skills', 'Heaven is a halfpipe', '', '', 'If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on earth I can't do jack"", 'Without the man up on my back', 'If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on earth I can't do shit"", ""Without the man fuckin' with it"", 'If I die before I wake', 'At least in Heaven I can skate', ""'Cause right now on earth I can't do shit"", ""Without the man fuckin' with it"", '', '', 'Old Skool Air', 'Method Air', 'Judo Air', 'Frontside Air', 'I don?t care', 'No, I don?t care', 'I don?t care ', '', 'I don?t care', '', 'I don?t care', '', 'I don?t care', '', 'I don?t care', '', 'I don?t car']"
191,Stutter - Double Take Remix,Joe,"contemporary r&b, r&b, urban contemporary",0.0513,0.767,0.759,0,0.31,-6.516,0.117,0.677,89.989,Major,4,6,213027,2000,2001,"['My dear-my dear-my dear you do not know me', 'But I know you very well', 'Now let me tell you that I c-c-c-c-caught you', ""(Why you lyin' to me?)"", 'My dear-my dear-my dear you do not know me', 'But I know you very well', 'Now let me tell you that I caught you in a-another lie', '', 'T-T-T-Talk to me, tell me where you were? (Late last night)', 'Y-Y-Y-You told me, ""With your friends, hangin\' out"" (Late last night)', ""Y-Y-Y-You're lying 'cause you're stuttering"", 'Now where were you? (Late last night)', ""Stop lyin' to me 'cause you're tickin' me off"", ""See you're tickin' me off, ooh-oooh-ooh"", '', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', '(Why you lie to me?)', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', 'I called you on your cell phone, no answer (Tell me why?)', 'So I paged you on your two-way, still no response (Tell me why?)', 'I took care of you, I loved you and you played me (Tell me why?)', ""Stop lyin' to me about where you've been"", ""'Cause you're tickin' me off, t-t-tickin' me off"", '', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', '(Why you lie to me?)', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', ""I can tell you're lying (I can tell)"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter', '', 'My dear, my dear, my dear', 'You do not know me but I know you very well', 'Now let me tell you that I c-c-c-c-caught you', 'My dear, my dear, my dear', 'You do not know me but I know you very well', 'Now let me tell you that I caught you in a-another lie', ""Quit-quit-quit-quit-quit cha lyin', heffer, watch yourself"", ""Yeah, I'll give the whips but leavin' you out'chere by yourself"", ""I'm keepin' it gangsta with all the tattoos and the platinum mouth"", ""I was the rapper you heard about strappin' up in the Waffle House"", ""Right next to niggas when I be sparkin' 'em out"", ""And I'm way too cold for playin' to let you come and dog me out"", ""Should've of knew what you was up to when you got here"", 'Get off my couch (Get)', ""And I just can't change it, it's gon' be good, get out on ya route"", 'My bad, Joe', ""I-I-I-I seen it comin' with that nappy hair"", ""She was runnin' wit' docked out, wantin' what you had"", ""Y-Y-Y-You let 'em set'cha up and you fell for it"", 'Now it\'s, ""I-I-I\'m sorry"" my ass', ""That's why you're payin' for it"", 'You got the garbage, I got the trash can for it', ""The man ain't gon stand for it"", 'You better respect my flow', ""Don't be stutterin' when you're talking to Mystikal"", ""Or lyin' when you be talking to J-J-Joe"", '', ""I smell cologne, damn it's strong"", ""How'd you get it on? (I'm not dumb)"", ""He messed up your hair, makeup's everywhere"", ""Ooh, yeah (I'm not dumb)"", ""Girl, you're crying 'cause you're lying"", ""To my face (I'm not dumb)"", ""Stop lying about seein' a man"", ""'Cause you're ticking me off, t-t-t-ticking me off"", ""I can tell you're lying"", ""'Cause when you're replying"", '(T-T-T-Ticking me off, T-T-T-Ticking me off)', 'You stutter, stutter, s-s-stutter, stutter', '(T-T-T-Ticking me off)', ""I can tell you're lying"", ""'Cause when you're replying"", '(T-T-T-Ticking me off, T-T-T-Ticking me off)', 'You stutter, stutter, s-s-stutter, stutter', '(T-T-T-Ticking me off)', ""I can tell you're lying"", ""'Cause when you're replying"", '(T-T-T-Ticking me off, T-T-T-Ticking me off)', 'You stutter, stutter, s-s-stutter, stutter', '(T-T-T-Ticking me off)', ""I can tell you're lying"", ""'Cause when you're replying"", '(T-T-T-Ticking me off, T-T-T-Ticking me off)', 'You stutter, stutter, s-s-stutter, stutter', '(T-T-T-Ticking me off)', ""I can tell you're lying"", ""'Cause when you're replying"", '(T-T-T-Ticking me off, T-T-T-Ticking me off)', 'You stutter, stutter, s-s-stutter, stutter', '(T-T-T-Ticking me off)', '', ""I can tell you're lying"", ""'Cause when you're replying"", 'You Stutter, stutter, s-s-stutter, stutter', ""I can tell you're lying"", ""'Cause when you're replying"", 'You stutter, stutter, s-s-stutter, stutter']"
192,Play,Jennifer Lopez,"dance pop, pop, urban contemporary",0.0303,0.775,0.729,0.00247,0.0361,-4.229,0.162,0.895,104.719,Minor,4,1,211493,2001,2001,"['Uh', 'Yeah', '', 'I could wait all night and day', 'To go to a party, sit down and wait', 'Give my request to the DJ', ""'Cause my song, he's gotta play (Just play my song)"", 'And when I hear that beat, I get my body up out my seat', 'I grab a guy and move my feet', ""He's playing my song"", '', 'Play, come on play that song', 'Play it all night long', 'Just turn it up and turn it on', 'Play, come on, DJ, play that song', 'You know that it turns me on (DJ, just play that song)', 'Just turn it up and turn it on', 'DJ, just play that song', ""'Cause I wanna be dancing (DJ) all night long"", 'Play my, play my, play my, play my', 'Play my favorite song (Uh)', '', ""I don't care if everybody's gone"", ""Turn it up 'cause it turns me on"", 'Keep dancing all night long', ""Feels so right that it can't be wrong (Can't be wrong)"", 'I get chills up and down my spine', 'Whenever I hear that song of mine', 'When it stops, better press rewind (Play that shit again)', 'Let me hear it one more time', 'Play, come on play that song', 'Play it all night long', 'Just turn it up and turn it on', 'Play, come on, DJ, play that song', 'You know that it turns me on (DJ, just play that song)', ""'Cause I wanna be dancing all night long (You know this song)"", 'Play, come on play that song', 'Play it all night long', 'Just turn it up, and turn it on (One more time)', 'Play, come on, DJ, play that song', 'You know that it turns me on (DJ, just play that song)', ""'Cause I wanna be dancing all night long"", '', 'I just wanna dance, is that a crime?', 'Alright then', 'Ooh, uh', 'Oh (Alright)', ""(Yeah, that's the hotness right here)"", '(Play, play, play, play)', 'Play, come on play that song (Now, Mr. DJ)', ""Play it all night long (I've asked you three times already)"", 'DJ, just play that song', ""Just turn it up and turn it on (Play my motherfuckin' song)"", 'Play, come on, DJ, play that song (Haha)', 'You know that it turns me on (DJ, just play that song)', '(Turn it up, turn it up)', ""'Cause I wanna be dancing all night long"", '(Turn it up, turn it up, turn the track)', 'Play, come on play that song (Oh)', 'Play it all night long', 'Just turn it up and turn it on', 'Play, come on, DJ, play that song', 'You know that it turns me on (DJ, just play that song)', ""'Cause I wanna be dancing all night long"", 'Play, come on play that song (Turn it up)', 'Play it all night long (Play it all night long)', 'Just turn it up, and turn it on', 'Play, come on, DJ, play that song (Uh-huh)', 'You know that it turns me on (DJ, just play that song)', 'Just turn it up, and turn it on']"
193,Eternal Flame - Single Version,Atomic Kitten,"candy pop, dance pop, europop, girl group, talent show",0.0658,0.578,0.581,0.0042,0.0674,-6.867,0.0318,0.408,83.293,Major,4,0,195507,2001,2001,"['1 ContributorEternal Flame - Single Version LyricsCall my name', 'Call my name', 'Call my name', 'Close your eyes', 'Give me your hand darling', 'Do you feel my heart beating?', 'Do you understand?', 'Do you feel the same', 'Or am I only dreaming?', ""Is this burnin', an eternal flame?"", 'I believe', ""Its meant to be darlin'"", 'I watch you when you are sleeping', 'You belong with me', 'Do you feel the same', 'Or am I only dreaming?', ""Is this burnin', an eternal flame?"", 'Say my name', 'Sun shines through the rain', 'My whole life so lonely', 'And come and ease the pain', ""I don't want to lose this feeling"", 'Call my name', 'Call my name', 'Call my name', 'Say my name', 'Sun shines through the rain', 'My whole life so lonely', 'And come and ease the pain', ""I don't want to lose this feeling"", 'Close your eyes', 'Give me your hand darling', 'Do you feel my heart beating?', 'Do you understand?', 'Do you feel the same', 'Am I only dreaming?', ""Or is this burnin', an eternal flame?"", 'Close your eyes', 'Give me your hand darling', 'Do you feel my heart beating?', 'Do you understand?', 'Do you feel the same', 'Or am I only dreaming', ""Or is this burnin', an eternal flame?"", 'Close your eyes', 'Give me your hand darling', 'Do you feel my heart beating?', 'Do you understand?', 'Do you feel the same', 'Or am I only dreaming?', ""Or is this burnin', an eternal flame?You might also lik""]"
194,Point of View - Radio Edit,DB Boulevard,,0.00283,0.676,0.715,0.0767,0.0685,-6.854,0.0287,0.275,129.006,Major,4,6,231167,2018,2001,"[""1 ContributorPoint of view - radio edit LyricsI don't have a cent"", 'Will I pay my rent', ""And even my car doesn't work"", ""Me and my man, he's the one"", 'To die for, we have split up', '', ""Can't you see, life's easy"", 'If you consider things', 'From another point of view', 'Ahhh, ah-ha yeah', 'In another way', 'From another point of view', 'Yeah, yeah, yeah, ahhh, ah-ha yeah', 'In another way', 'From another point of view', '', 'I see life and lights', 'All the colours of the world', ""So beautiful won't you come with me"", ""I've seen birds and trees"", 'All the flowers of the world', ""So beautiful won't you come with me"", '', 'Ahhh, ah-ha yeah', 'In another way', 'From another point of view', ""You might also likeCan't you see, life's easy"", 'If you consider things', 'From another point of view', 'Ahhh, ah-ha yeah', 'In another way', 'From another point of view']"
